x_center,weight,native_sin,native_cos,std_sin,std_cos
-2.820990669,3.067970276e-03,3.600465297e+00,8.056276452e-01,2.503822516e-01,2.975826841e-01
-2.817922707,3.067970276e-03,3.717154402e+00,7.567712645e-01,2.504708137e-01,2.983565440e-01
-2.814854746,3.067970276e-03,3.851813887e+00,7.060875717e-01,2.504734066e-01,2.982113318e-01
-2.811786784,3.067970276e-03,3.994493273e+00,6.619889167e-01,2.503846631e-01,2.990022653e-01
-2.808718823,3.067970276e-03,4.136386198e+00,6.251941059e-01,2.504287248e-01,2.998927717e-01
-2.805650861,3.067970276e-03,4.258475812e+00,5.996299188e-01,2.504720670e-01,3.000475375e-01
-2.802582899,3.067970276e-03,4.378619719e+00,5.874116131e-01,2.504966715e-01,2.988269239e-01
-2.799514938,3.067970276e-03,4.483620935e+00,6.000333369e-01,2.505325601e-01,2.998592822e-01
-2.796446976,3.067970276e-03,2.470687290e+00,1.262346433e+00,2.505221244e-01,3.003248966e-01
-2.793379015,3.067970276e-03,2.517282997e+00,1.188014970e+00,2.505314617e-01,3.012409325e-01
-2.790311053,3.067970276e-03,2.550991410e+00,1.135392373e+00,2.504804763e-01,3.023801789e-01
-2.787243092,3.067970276e-03,2.581555782e+00,1.093306005e+00,2.504733399e-01,3.016174423e-01
-2.784175130,3.067970276e-03,2.606360597e+00,1.059439854e+00,2.505253128e-01,3.018903306e-01
-2.781107168,3.067970276e-03,2.621569285e+00,1.026605726e+00,2.505328729e-01,3.037387481e-01
-2.778039207,3.067970276e-03,2.638571296e+00,9.871218109e-01,2.504670585e-01,3.039276495e-01
-2.774971245,3.067731857e-03,2.666622567e+00,9.464216868e-01,2.505265032e-01,3.023154722e-01
-2.771903284,3.067970276e-03,2.692493245e+00,8.945317447e-01,2.504549804e-01,3.040438713e-01
-2.768835322,3.067970276e-03,2.718536072e+00,8.398420407e-01,2.505426774e-01,3.034844044e-01
-2.765767361,3.067970276e-03,2.753701935e+00,7.749424726e-01,2.504272924e-01,3.040478396e-01
-2.762699399,3.067970276e-03,2.820592300e+00,7.175184070e-01,2.503451170e-01,3.040943512e-01
-2.759631437,3.067970276e-03,2.853706224e+00,6.572565838e-01,2.503626787e-01,3.030562069e-01
-2.756563476,3.067970276e-03,2.884415872e+00,6.083776083e-01,2.503406231e-01,3.004066946e-01
-2.753495514,3.067970276e-03,2.898951329e+00,5.732340300e-01,2.503614910e-01,3.025439733e-01
-2.750427553,3.067970276e-03,2.911251403e+00,5.555528486e-01,2.498713006e-01,3.020738694e-01
-2.747359591,3.067970276e-03,2.735250085e+00,1.645464940e+00,2.502918550e-01,3.020917700e-01
-2.744291630,3.067970276e-03,2.751145415e+00,1.557849481e+00,2.502835231e-01,3.021675053e-01
-2.741223668,3.067970276e-03,2.742191246e+00,1.482839260e+00,2.502356721e-01,3.020078980e-01
-2.738155706,3.067970276e-03,2.756556623e+00,1.430850589e+00,2.502214552e-01,3.016072397e-01
-2.735087745,3.067970276e-03,2.736656458e+00,1.378231855e+00,2.502349161e-01,3.017138314e-01
-2.732019783,3.067970276e-03,2.723810362e+00,1.325778981e+00,2.506678074e-01,3.003693744e-01
-2.728951822,3.067970276e-03,2.711847115e+00,1.280782126e+00,2.509385092e-01,3.002625876e-01
-2.725883860,3.067970276e-03,2.716876404e+00,1.226405289e+00,2.503696411e-01,3.001675260e-01
-2.722815898,3.067970276e-03,2.714602398e+00,1.164272441e+00,2.502687287e-01,2.988506980e-01
-2.719747937,3.067970276e-03,2.717420673e+00,1.096934791e+00,2.504683798e-01,2.979881049e-01
-2.716679975,3.067970276e-03,2.726418563e+00,1.023385333e+00,2.504775801e-01,2.976434484e-01
-2.713612014,3.067970276e-03,2.772354986e+00,9.514160375e-01,2.505049722e-01,2.974927559e-01
-2.710544052,3.067970276e-03,2.776611896e+00,8.792693633e-01,2.506216121e-01,2.964872763e-01
-2.707476091,3.067970276e-03,2.774085301e+00,8.156786039e-01,2.507449480e-01,2.951945122e-01
-2.704408129,3.067970276e-03,2.761246658e+00,7.718838649e-01,2.511599939e-01,2.959080526e-01
-2.701340167,3.067970276e-03,2.728588441e+00,7.462587684e-01,2.510777245e-01,2.942024931e-01
-2.698272206,3.067970276e-03,2.550487642e+00,1.402615936e+00,2.513225844e-01,2.941281070e-01
-2.695204244,3.067970276e-03,2.638254286e+00,1.358519601e+00,2.514600621e-01,2.932042707e-01
-2.692136283,3.067970276e-03,2.711574628e+00,1.340247845e+00,2.515423612e-01,2.915144743e-01
-2.689068321,3.067731857e-03,2.783887720e+00,1.323847565e+00,2.522013807e-01,2.918287925e-01
-2.686000360,3.067970276e-03,2.844760228e+00,1.306003549e+00,2.520544479e-01,2.907795803e-01
