log2_x,count,native_sin,native_cos,std_sin,std_cos
-15,16777216,2.139059524e-11,1.086542920e-09,1.776356642e-14,1.086542920e-09
-14,16777216,4.267460909e-11,4.346171682e-09,1.421085313e-13,4.346171682e-09
-13,16777216,8.449656699e-11,3.721233073e-08,1.136868248e-12,1.738468667e-08
-12,16777216,1.621719245e-10,2.488332658e-08,8.236176611e-12,1.519023399e-08
-11,16777216,2.697741753e-10,3.025442191e-08,1.655942654e-11,1.488459849e-08
-10,16777216,1.942166276e-10,2.986227805e-08,3.013622121e-11,1.490010602e-08
-9,16777216,7.568152176e-10,3.023111336e-08,5.871690030e-11,1.490111154e-08
-8,16777216,9.750122302e-10,3.226194934e-08,1.166682320e-10,1.490122434e-08
-7,16777216,3.027907357e-09,3.907062696e-08,2.329550188e-10,1.490142308e-08
-6,16777216,8.811384683e-09,5.422658102e-08,4.657065966e-10,1.490117280e-08
-5,16777216,2.298611559e-08,5.637229427e-08,9.314189757e-10,1.490671183e-08
-4,16777216,1.801229814e-08,3.410750560e-08,1.866987724e-09,1.498147431e-08
-3,16777216,2.425364164e-08,4.371969428e-08,3.804786546e-09,1.579161860e-08
-2,16777216,2.666946657e-08,2.295282481e-08,7.540514781e-09,1.781586575e-08
-1,16777216,4.980264631e-08,2.349146959e-08,1.560679738e-08,1.706852302e-08
0,16777216,3.829746512e-08,6.019500791e-08,1.679574052e-08,8.296753635e-09
1,16777216,1.049342978e-07,6.820677475e-08,1.309152798e-08,1.756741797e-08
2,16777216,1.481578981e-07,1.724564025e-07,1.375158485e-08,1.275573192e-08
3,16777216,3.253489108e-07,3.045596814e-07,1.355196438e-08,1.418640652e-08
4,16777216,6.396028416e-07,6.179902055e-07,1.408081414e-08,1.358496118e-08
5,16777216,1.263417257e-06,1.253410858e-06,1.380763827e-08,1.403791607e-08
6,16777216,2.487558572e-06,2.534379230e-06,1.397556164e-08,1.371722550e-08
7,16777216,5.034632525e-06,5.014402837e-06,1.379481118e-08,1.389100590e-08
8,16777216,1.004471127e-05,1.005355713e-05,1.386855846e-08,1.383716787e-08
9,16777216,2.009558588e-05,2.010271771e-05,1.385950117e-08,1.385526603e-08
10,16777216,4.019073585e-05,4.020624732e-05,1.385666873e-08,1.385313026e-08
11,16777216,8.038483451e-05,8.040676331e-05,1.385939443e-08,1.385488528e-08
12,16777216,1.607885135e-04,1.607925761e-04,1.385585459e-08,1.385737004e-08
13,16777216,3.216070622e-04,3.215651885e-04,1.386030728e-08,1.385217807e-08
14,16777216,6.431802500e-04,6.431708892e-04,1.385201966e-08,1.385462443e-08
15,16777216,1.286323821e-03,1.286369218e-03,1.385825509e-08,1.386131722e-08
16,16777216,2.572708004e-03,2.572683893e-03,1.385255609e-08,1.386182817e-08
17,16777216,5.145399208e-03,5.145384790e-03,1.385363280e-08,1.386099728e-08
18,16777216,1.029076915e-02,1.029075788e-02,1.385590349e-08,1.385093715e-08
19,16777216,2.058137057e-02,2.058133682e-02,1.384776779e-08,1.385660562e-08
20,16777216,4.116128185e-02,4.116127886e-02,1.385814964e-08,1.385613382e-08
21,16777216,8.231103074e-02,8.231105524e-02,1.385612436e-08,1.385973471e-08
22,16777216,1.645286922e-01,1.645288238e-01,1.385092691e-08,1.384947015e-08
23,16777216,3.282792264e-01,3.282743778e-01,1.386180260e-08,1.385521587e-08
24,16777216,5.893527320e-01,6.487887315e-01,1.384639330e-08,1.385215140e-08
25,16777216,6.366198128e-01,1.059680170e+00,1.385761621e-08,1.386089628e-08
26,16777216,6.366197344e-01,1.000000154e+00,1.385686655e-08,1.385787974e-08
27,16777216,6.366196555e-01,9.999999497e-01,1.385321666e-08,1.385328037e-08
28,16777216,6.366198427e-01,9.999996933e-01,1.385540607e-08,1.385666126e-08
29,16777216,6.366197518e-01,1.000000188e+00,1.385169893e-08,1.385732782e-08
30,16777216,6.366197642e-01,9.999999763e-01,1.385256247e-08,1.385644572e-08
31,16777216,6.366197978e-01,9.999999621e-01,1.385683840e-08,1.385659450e-08
32,16777216,6.366197394e-01,1.000000084e+00,1.384898122e-08,1.385925338e-08
33,16777216,6.366195385e-01,1.000000035e+00,1.385441840e-08,1.385154465e-08
34,16777216,6.366199107e-01,9.999993869e-01,1.385500206e-08,1.385950963e-08
35,16777216,6.366197297e-01,1.000000350e+00,1.386412225e-08,1.385335315e-08
36,16777216,6.366197932e-01,9.999998812e-01,1.385787407e-08,1.385456847e-08
37,16777216,6.366197679e-01,1.000000085e+00,1.386022950e-08,1.385880056e-08
