x_center,weight,fast_sin,fast_cos,std_sin,std_cos
-2.532602281,3.067970276e-03,8.326334709e-01,8.532434749e-01,5.067046964e-01,2.573960377e-01
-2.529534319,3.067970276e-03,8.747323370e-01,1.844082127e+00,5.110791640e-01,2.582695583e-01
-2.526466358,3.067970276e-03,7.131543138e-01,2.426358451e+00,5.150129201e-01,2.575397671e-01
-2.523398396,3.067731857e-03,6.902805035e-01,2.752504492e+00,5.180195239e-01,2.580576006e-01
-2.520330434,3.067970276e-03,7.046253255e-01,2.462271717e+00,5.259328231e-01,2.579534842e-01
-2.517262473,3.067970276e-03,1.042744313e+00,1.948784014e+00,5.283658331e-01,2.585142122e-01
-2.514194511,3.067970276e-03,1.707464426e+00,1.312117783e+00,5.319968303e-01,2.578515793e-01
-2.511126550,3.067970276e-03,1.920444920e+00,1.091004297e+00,5.367212837e-01,2.581469252e-01
-2.508058588,3.067970276e-03,1.365508246e+00,1.369796873e+00,5.410830774e-01,2.582762042e-01
-2.504990627,3.067970276e-03,1.000909987e+00,2.561832296e+00,5.474427376e-01,2.585001000e-01
-2.501922665,3.067970276e-03,8.604495201e-01,2.245369945e+00,5.527503225e-01,2.589394495e-01
-2.498854703,3.067970276e-03,6.930718297e-01,3.399950172e+00,5.545343846e-01,2.586854196e-01
-2.495786742,3.067970276e-03,8.363924446e-01,3.585304310e+00,5.610064176e-01,2.586492550e-01
-2.492718780,3.067970276e-03,1.344945434e+00,3.216690416e+00,5.654321651e-01,2.581365755e-01
-2.489650819,3.067970276e-03,2.032270529e+00,2.406998093e+00,5.695370287e-01,2.585633268e-01
-2.486582857,3.067970276e-03,2.236259845e+00,1.689661732e+00,5.758321666e-01,2.595281107e-01
-2.483514896,3.067970276e-03,1.661351570e+00,1.193324827e+00,5.785638303e-01,2.588451978e-01
-2.480446934,3.067970276e-03,9.043672518e-01,1.307120283e+00,5.835674987e-01,2.591436943e-01
-2.477378972,3.067970276e-03,8.166262815e-01,2.736220968e+00,5.894848569e-01,2.590998794e-01
-2.474311011,3.067970276e-03,1.407713054e+00,2.874391027e+00,5.920208796e-01,2.597613243e-01
-2.471243049,3.067970276e-03,1.354499107e+00,2.411376724e+00,5.958346184e-01,2.588499391e-01
-2.468175088,3.067970276e-03,8.634389294e-01,1.763683130e+00,6.016345133e-01,2.591617516e-01
-2.465107126,3.067970276e-03,7.169964965e-01,1.067093000e+00,6.052422691e-01,2.588935364e-01
-2.462039165,3.067970276e-03,1.167164358e+00,8.794424288e-01,6.105672165e-01,2.595614686e-01
-2.458971203,3.067970276e-03,1.492921729e+00,1.231910317e+00,6.140603208e-01,2.600232714e-01
-2.455903241,3.067970276e-03,1.054478692e+00,2.620382828e+00,6.185433937e-01,2.590098932e-01
-2.452835280,3.067970276e-03,1.305513747e+00,2.652417525e+00,6.204607578e-01,2.600520008e-01
-2.449767318,3.067970276e-03,8.017918988e-01,3.316377213e+00,6.253404308e-01,2.595011306e-01
-2.446699357,3.067970276e-03,8.805709635e-01,3.175725071e+00,6.315487609e-01,2.597354015e-01
-2.443631395,3.067970276e-03,1.264045918e+00,2.670192012e+00,6.326959871e-01,2.599360549e-01
-2.440563434,3.067970276e-03,1.846482372e+00,1.933998492e+00,6.360505124e-01,2.598206959e-01
-2.437495472,3.067731857e-03,1.995121588e+00,1.519114715e+00,6.395251826e-01,2.592253672e-01
