x,x_over_pi,native_sin,ref,abs_err
np.float32(102941.54),32767.309583,np.float32(-0.82634497),np.float64(-0.8263427475060529),2.219382e-06
np.float32(102941.55),32767.312069,np.float32(-0.8307195),np.float64(-0.8307172312044797),2.239773e-06
np.float32(102941.555),32767.314556,np.float32(-0.8350432),np.float64(-0.8350410122047885),2.179705e-06
np.float32(102941.56),32767.317043,np.float32(-0.839316),np.float64(-0.8393138266056726),2.183869e-06
np.float32(102941.57),32767.319530,np.float32(-0.84353757),np.float64(-0.8435354136165637),2.155429e-06
np.float32(102941.58),32767.322017,np.float32(-0.8477076),np.float64(-0.8477055155735497),2.113630e-06
np.float32(102941.586),32767.324503,np.float32(-0.85182595),np.float64(-0.8518238779551005),2.074575e-06
np.float32(102941.59),32767.326990,np.float32(-0.8558923),np.float64(-0.8558902493976033),2.051208e-06
np.float32(102941.6),32767.329477,np.float32(-0.8599064),np.float64(-0.8599043817107039),1.993697e-06
np.float32(102941.61),32767.331964,np.float32(-0.863868),np.float64(-0.8638660298924558),1.968231e-06
np.float32(102941.62),32767.334451,np.float32(-0.86777693),np.float64(-0.8677749521442728),1.978188e-06
np.float32(102941.625),32767.336937,np.float32(-0.8716329),np.float64(-0.8716309098856881),1.964126e-06
np.float32(102941.63),32767.339424,np.float32(-0.8754356),np.float64(-0.8754336677689156),1.922975e-06
np.float32(102941.64),32767.341911,np.float32(-0.8791849),np.float64(-0.8791829936932141),1.908021e-06
np.float32(102941.65),32767.344398,np.float32(-0.8828805),np.float64(-0.8828786588190539),1.850081e-06
np.float32(102941.66),32767.346885,np.float32(-0.8865223),np.float64(-0.886520437582084),1.855509e-06
np.float32(102941.664),32767.349371,np.float32(-0.8901099),np.float64(-0.890108107706899),1.788953e-06
np.float32(102941.67),32767.351858,np.float32(-0.8936432),np.float64(-0.8936414502206061),1.750177e-06
np.float32(102941.68),32767.354345,np.float32(-0.89712197),np.float64(-0.8971202494661898),1.716419e-06
np.float32(102941.69),32767.356832,np.float32(-0.900546),np.float64(-0.9005442931156745),1.721193e-06
np.float32(102941.695),32767.359318,np.float32(-0.90391505),np.float64(-0.903913372183084),1.675462e-06
np.float32(102941.7),32767.361805,np.float32(-0.90722895),np.float64(-0.9072272810371969),1.665649e-06
np.float32(102941.71),32767.364292,np.float32(-0.9104875),np.float64(-0.9104858174140973),1.655597e-06
np.float32(102941.72),32767.366779,np.float32(-0.9136904),np.float64(-0.9136887824295198),1.605773e-06
np.float32(102941.73),32767.369266,np.float32(-0.9168376),np.float64(-0.9168359805909886),1.592460e-06
np.float32(102941.734),32767.371752,np.float32(-0.9199288),np.float64(-0.9199272198097492),1.569329e-06
np.float32(102941.74),32767.374239,np.float32(-0.9229638),np.float64(-0.9229623114124925),1.486634e-06
np.float32(102941.75),32767.376726,np.float32(-0.92594254),np.float64(-0.9259410701528705),1.470016e-06
