x_center,weight,native_sin,native_cos,std_sin,std_cos
-2.636912974,3.067970276e-03,4.636219664e-01,3.416560162e-01,9.089447722e-01,4.538155453e-01
-2.633845013,3.067970276e-03,7.703195886e-01,4.687137613e-01,9.011134235e-01,4.496981816e-01
-2.630777051,3.067970276e-03,9.747014361e-01,2.925159008e-01,8.997934349e-01,4.504989693e-01
-2.627709090,3.067970276e-03,4.750819762e-01,3.826501266e-01,8.957504127e-01,4.573187066e-01
-2.624641128,3.067970276e-03,1.006295513e+00,3.543460085e-01,8.946938992e-01,4.598449275e-01
-2.621573166,3.067970276e-03,4.540808630e-01,3.337027994e-01,8.936449286e-01,4.601523347e-01
-2.618505205,3.067970276e-03,3.848263580e-01,4.277977240e-01,7.457819401e-01,4.800120456e-01
-2.615437243,3.067970276e-03,2.648553116e-01,3.799349682e-01,4.478331799e-01,4.631797561e-01
-2.612369282,3.067970276e-03,6.244914129e-01,6.008800030e-01,4.470990618e-01,4.683043940e-01
-2.609301320,3.067970276e-03,6.527185335e-01,5.750818997e-01,4.456732176e-01,4.697455811e-01
-2.606233359,3.067731857e-03,3.261101851e-01,4.996194976e-01,4.460419267e-01,4.718535913e-01
-2.603165397,3.067970276e-03,3.256067790e-01,5.571607054e-01,4.459895396e-01,4.762702058e-01
-2.600097435,3.067970276e-03,2.795005618e-01,2.808586757e-01,4.444166780e-01,4.786892358e-01
